iter	Passed	Remaining
0	141	141689
1	146	72983
2	150	50032
3	154	38509
4	158	31594
5	162	26945
6	166	23666
7	170	21170
8	174	19226
9	178	17671
10	182	16420
11	186	15363
12	190	14445
13	194	13683
14	197	12988
15	201	12391
16	205	11884
17	209	11418
18	213	11008
19	217	10640
20	220	10297
21	224	9986
22	228	9699
23	232	9442
24	236	9206
25	240	9002
26	244	8794
27	247	8593
28	251	8420
29	255	8252
30	259	8100
31	263	7962
32	266	7804
33	268	7632
34	271	7478
35	273	7321
36	275	7162
37	277	7013
38	278	6871
39	280	6739
40	282	6602
41	283	6469
42	285	6347
43	286	6224
44	287	6109
45	289	5999
46	290	5889
47	291	5788
48	293	5686
49	294	5589
50	295	5494
51	296	5406
52	297	5319
53	298	5233
54	299	5152
55	300	5072
56	301	4995
57	302	4920
58	304	4849
59	305	4780
60	306	4711
61	306	4644
62	307	4578
63	308	4515
64	309	4458
65	311	4403
66	312	4349
67	312	4289
68	314	4239
69	315	4187
70	316	4135
71	316	4084
72	317	4035
73	318	3989
74	319	3942
75	320	3897
76	321	3853
77	322	3809
78	323	3767
79	323	3725
80	324	3685
81	325	3647
82	326	3609
83	327	3572
84	328	3533
85	329	3499
86	329	3461
87	330	3427
88	331	3393
89	332	3360
90	333	3329
91	334	3297
92	334	3267
93	335	3237
94	336	3208
95	337	3180
96	338	3152
97	339	3124
98	340	3097
99	341	3070
100	342	3045
101	342	3016
102	343	2991
103	344	2967
104	345	2942
105	346	2918
106	347	2896
107	347	2873
108	348	2852
109	349	2830
110	350	2808
111	351	2786
112	352	2765
113	353	2744
114	354	2724
115	354	2703
116	355	2684
117	356	2665
118	357	2645
119	358	2626
120	359	2608
121	360	2590
122	360	2570
123	361	2553
124	362	2535
125	363	2518
126	364	2502
127	364	2483
128	365	2467
129	366	2452
130	367	2436
131	368	2421
132	369	2405
133	369	2390
134	370	2375
135	371	2360
136	372	2346
137	373	2330
138	374	2317
139	374	2303
140	375	2289
141	376	2275
142	377	2262
143	378	2249
144	379	2236
145	380	2223
146	380	2210
147	381	2198
148	382	2186
149	383	2173
150	384	2162
151	385	2150
152	386	2138
153	387	2126
154	387	2115
155	388	2104
156	389	2092
157	390	2081
158	391	2070
159	392	2060
160	393	2049
161	394	2039
162	395	2028
163	395	2017
164	396	2007
165	397	1997
166	398	1987
167	399	1977
168	400	1966
169	400	1957
170	401	1947
171	402	1938
172	403	1929
173	404	1919
174	405	1910
175	406	1901
176	406	1892
177	407	1883
178	408	1874
179	409	1865
180	410	1855
181	410	1846
182	411	1838
183	412	1829
184	413	1821
185	414	1813
186	415	1805
187	416	1797
188	416	1788
189	417	1780
190	418	1773
191	419	1765
192	420	1758
193	421	1750
194	422	1743
195	423	1735
196	423	1728
197	424	1720
198	425	1713
199	426	1706
200	427	1698
201	428	1691
202	429	1684
203	429	1677
204	430	1670
205	431	1663
206	432	1657
207	433	1650
208	434	1644
209	435	1637
210	436	1630
211	436	1624
212	437	1617
213	438	1611
214	439	1604
215	440	1598
216	441	1592
217	442	1585
218	442	1579
219	443	1573
220	444	1567
221	445	1561
222	446	1555
223	447	1549
224	448	1543
225	449	1537
226	449	1531
227	450	1525
228	451	1520
229	452	1514
230	453	1508
231	453	1502
232	454	1497
233	455	1491
234	456	1486
235	457	1480
236	458	1475
237	459	1469
238	459	1464
239	460	1459
240	461	1453
241	462	1448
242	463	1443
243	464	1437
244	464	1432
245	465	1427
246	466	1422
247	467	1417
248	468	1412
249	469	1407
250	470	1402
251	470	1397
252	471	1392
253	472	1388
254	473	1383
255	474	1379
256	475	1374
257	476	1370
258	477	1365
259	478	1362
260	479	1357
261	480	1353
262	481	1348
263	482	1344
264	483	1340
265	484	1336
266	485	1331
267	486	1327
268	487	1323
269	487	1319
270	488	1315
271	489	1310
272	490	1306
273	491	1302
274	492	1297
275	493	1293
276	493	1289
277	494	1284
278	495	1280
279	496	1276
280	497	1272
281	498	1268
282	498	1264
283	499	1260
284	500	1256
285	501	1251
286	502	1248
287	503	1244
288	504	1240
289	505	1236
290	505	1232
291	506	1228
292	507	1224
293	508	1220
294	509	1217
295	510	1213
296	511	1209
297	511	1205
298	512	1202
299	513	1198
300	514	1194
301	515	1190
302	516	1187
303	516	1183
304	517	1179
305	518	1176
306	519	1172
307	520	1169
308	521	1165
309	522	1162
310	522	1158
311	523	1155
312	524	1151
313	525	1148
314	526	1144
315	527	1141
316	528	1137
317	528	1134
318	529	1130
319	530	1127
320	531	1123
321	532	1120
322	532	1117
323	533	1113
324	534	1110
325	535	1107
326	536	1103
327	537	1100
328	538	1097
329	539	1094
330	539	1091
331	540	1087
332	541	1084
333	542	1081
334	543	1078
335	544	1075
336	545	1072
337	545	1069
338	546	1066
339	547	1062
340	548	1059
341	549	1056
342	550	1053
343	550	1050
344	551	1047
345	552	1044
346	553	1041
347	554	1038
348	555	1035
349	555	1032
350	556	1029
351	557	1026
352	558	1023
353	559	1020
354	560	1018
355	561	1015
356	562	1012
357	562	1009
358	563	1006
359	564	1003
360	565	1001
361	566	998
362	567	995
